WC-1930,group stage,Argentina,Group 1,1,3,3,0,0,10,4,6,6
WC-1930,group stage,Chile,Group 1,2,3,2,0,1,5,3,2,4
WC-1930,group stage,France,Group 1,3,3,1,0,2,4,3,1,2
WC-1930,group stage,Mexico,Group 1,4,3,0,0,3,4,13,-9,0
WC-1930,group stage,Yugoslavia,Group 2,1,2,2,0,0,6,1,5,4
WC-1930,group stage,Brazil,Group 2,2,2,1,0,1,5,2,3,2
WC-1930,group stage,Bolivia,Group 2,3,2,0,0,2,0,8,-8,0
WC-1930,group stage,Uruguay,Group 3,1,2,2,0,0,5,0,5,4
WC-1930,group stage,Romania,Group 3,2,2,1,0,1,3,5,-2,2
WC-1930,group stage,Peru,Group 3,3,2,0,0,2,1,4,-3,0
WC-1930,group stage,United States,Group 4,1,2,2,0,0,6,0,6,4
WC-1930,group stage,Paraguay,Group 4,2,2,1,0,1,1,3,-2,2
WC-1930,group stage,Belgium,Group 4,3,2,0,0,2,0,4,-4,0
WC-1950,first round,Brazil,Group 1,1,3,2,1,0,8,2,6,5
WC-1950,first round,Yugoslavia,Group 1,2,3,2,0,1,7,3,4,4
WC-1950,first round,Switzerland,Group 1,3,3,1,1,1,4,6,-2,3
WC-1950,first round,Mexico,Group 1,4,3,0,0,3,2,10,-8,0
WC-1950,first round,Spain,Group 2,1,3,3,0,0,6,1,5,6
WC-1950,first round,England,Group 2,2,3,1,0,2,2,2,0,2
WC-1950,first round,Chile,Group 2,3,3,1,0,2,5,6,-1,2
WC-1950,first round,United States,Group 2,4,3,1,0,2,4,8,-4,2
WC-1950,first round,Sweden,Group 3,1,2,1,1,0,5,4,1,3
WC-1950,first round,Italy,Group 3,2,2,1,0,1,4,3,1,2
WC-1950,first round,Paraguay,Group 3,3,2,0,1,1,2,4,-2,1
WC-1950,first round,Uruguay,Group 4,1,1,1,0,0,8,0,8,2
WC-1950,first round,Bolivia,Group 4,2,1,0,0,1,0,8,-8,0
WC-1950,final round,Uruguay,Group 1,1,3,2,1,0,7,5,2,5
WC-1950,final round,Brazil,Group 1,2,3,2,0,1,14,4,10,4
WC-1950,final round,Sweden,Group 1,3,3,1,0,2,6,11,-5,2
