WC-1930,A-4,Golden Boot,0,P-04418,Stábile,Guillermo,T-03
WC-1930,A-5,Silver Boot,0,P-00724,Cea,Pedro,T-80
WC-1930,A-6,Bronze Boot,0,P-09215,Patenaude,Bert,T-79
WC-1934,A-4,Golden Boot,0,P-05627,Nejedlý,Oldřich,T-20
WC-1934,A-5,Silver Boot,1,P-03649,Conen,Edmund,T-29
WC-1934,A-5,Silver Boot,1,P-02250,Schiavio,Angelo,T-39
WC-1938,A-4,Golden Boot,0,P-03023,Leônidas,,T-09
WC-1938,A-5,Silver Boot,1,P-08824,Piola,Silvio,T-39
WC-1938,A-5,Silver Boot,1,P-02366,Sárosi,György,T-34
WC-1938,A-5,Silver Boot,1,P-04466,Zsengellér,Gyula,T-34
WC-1950,A-4,Golden Boot,0,P-04188,Ademir,,T-09
WC-1950,A-5,Silver Boot,0,P-06216,Míguez,Oscar,T-80
WC-1950,A-6,Bronze Boot,1,P-08187,Basora,Estanislau,T-70
WC-1950,A-6,Bronze Boot,1,P-02577,Chico,,T-09
WC-1950,A-6,Bronze Boot,1,P-03281,Zarra,Telmo,T-70
WC-1954,A-4,Golden Boot,0,P-07498,Kocsis,Sándor,T-34
WC-1954,A-5,Silver Boot,1,P-05476,Hügi,Josef,T-72
WC-1954,A-5,Silver Boot,1,P-01070,Morlock,Max,T-82
WC-1954,A-5,Silver Boot,1,P-01943,Probst,Erich,T-05
WC-1958,A-4,Golden Boot,0,P-00643,Fontaine,Just,T-28
WC-1958,A-5,Silver Boot,1,P-03795,Pelé,,T-09
WC-1958,A-5,Silver Boot,1,P-08148,Rahn,Helmut,T-82
WC-1958,A-8,Best Young Player,0,P-03795,Pelé,,T-09
WC-1962,A-4,Golden Boot,1,P-05509,Albert,Flórián,T-34
WC-1962,A-4,Golden Boot,1,P-04025,Garrincha,,T-09
WC-1962,A-4,Golden Boot,1,P-03508,Ivanov,Valentin,T-69
WC-1962,A-4,Golden Boot,1,P-00009,Jerković,Dražan,T-83
WC-1962,A-4,Golden Boot,1,P-06737,Sánchez,Leonel,T-13
WC-1962,A-4,Golden Boot,1,P-01219,Vavá,,T-09
WC-1962,A-8,Best Young Player,0,P-05509,Albert,Flórián,T-34
WC-1966,A-4,Golden Boot,0,P-01633,Eusébio,,T-56
WC-1966,A-5,Silver Boot,0,P-08039,Haller,Helmut,T-82
WC-1966,A-6,Bronze Boot,1,P-04356,Beckenbauer,Franz,T-82
WC-1966,A-6,Bronze Boot,1,P-02995,Bene,Ferenc,T-34
WC-1966,A-6,Bronze Boot,1,P-03234,Hurst,Geoff,T-27
WC-1966,A-6,Bronze Boot,1,P-06927,Porkujan,Valeriy,T-69
WC-1966,A-8,Best Young Player,0,P-04356,Beckenbauer,Franz,T-82
