WC-1930,T-03,Argentina
WC-1930,T-06,Belgium
WC-1930,T-07,Bolivia
WC-1930,T-09,Brazil
WC-1930,T-13,Chile
WC-1930,T-28,France
WC-1930,T-44,Mexico
WC-1930,T-53,Paraguay
WC-1930,T-54,Peru
WC-1930,T-58,Romania
WC-1930,T-79,United States
WC-1930,T-80,Uruguay
WC-1930,T-83,Yugoslavia
WC-1934,T-03,Argentina
WC-1934,T-05,Austria
WC-1934,T-06,Belgium
WC-1934,T-09,Brazil
WC-1934,T-20,Czechoslovakia
WC-1934,T-25,Egypt
WC-1934,T-28,France
WC-1934,T-29,Germany
WC-1934,T-34,Hungary
WC-1934,T-39,Italy
WC-1934,T-46,Netherlands
WC-1934,T-58,Romania
WC-1934,T-70,Spain
WC-1934,T-71,Sweden
WC-1934,T-72,Switzerland
WC-1934,T-79,United States
WC-1938,T-06,Belgium
WC-1938,T-09,Brazil
WC-1938,T-18,Cuba
WC-1938,T-20,Czechoslovakia
WC-1938,T-22,Dutch East Indies
WC-1938,T-28,France
WC-1938,T-29,Germany
WC-1938,T-34,Hungary
WC-1938,T-39,Italy
WC-1938,T-46,Netherlands
WC-1938,T-51,Norway
WC-1938,T-55,Poland
WC-1938,T-58,Romania
WC-1938,T-71,Sweden
WC-1938,T-72,Switzerland
WC-1950,T-07,Bolivia
WC-1950,T-09,Brazil
WC-1950,T-13,Chile
WC-1950,T-27,England
WC-1950,T-39,Italy
WC-1950,T-44,Mexico
WC-1950,T-53,Paraguay
WC-1950,T-70,Spain
WC-1950,T-71,Sweden
WC-1950,T-72,Switzerland
WC-1950,T-79,United States
WC-1950,T-80,Uruguay
WC-1950,T-83,Yugoslavia
WC-1954,T-05,Austria
WC-1954,T-06,Belgium
WC-1954,T-09,Brazil
WC-1954,T-20,Czechoslovakia
WC-1954,T-27,England
WC-1954,T-28,France
WC-1954,T-34,Hungary
WC-1954,T-39,Italy
WC-1954,T-44,Mexico
WC-1954,T-61,Scotland
WC-1954,T-68,South Korea
WC-1954,T-72,Switzerland
WC-1954,T-76,Turkey
WC-1954,T-80,Uruguay
WC-1954,T-82,West Germany
WC-1954,T-83,Yugoslavia
WC-1958,T-03,Argentina
WC-1958,T-05,Austria
WC-1958,T-09,Brazil
WC-1958,T-20,Czechoslovakia
WC-1958,T-27,England
WC-1958,T-28,France
WC-1958,T-34,Hungary
WC-1958,T-44,Mexico
WC-1958,T-50,Northern Ireland
WC-1958,T-53,Paraguay
WC-1958,T-61,Scotland
WC-1958,T-69,Soviet Union
WC-1958,T-71,Sweden
WC-1958,T-81,Wales
WC-1958,T-82,West Germany
WC-1958,T-83,Yugoslavia
WC-1962,T-03,Argentina
WC-1962,T-09,Brazil
WC-1962,T-10,Bulgaria
WC-1962,T-13,Chile
WC-1962,T-15,Colombia
WC-1962,T-20,Czechoslovakia
WC-1962,T-27,England
WC-1962,T-34,Hungary
WC-1962,T-39,Italy
WC-1962,T-44,Mexico
WC-1962,T-69,Soviet Union
WC-1962,T-70,Spain
WC-1962,T-72,Switzerland
WC-1962,T-80,Uruguay
WC-1962,T-82,West Germany
WC-1962,T-83,Yugoslavia
WC-1966,T-03,Argentina
WC-1966,T-09,Brazil
WC-1966,T-10,Bulgaria
WC-1966,T-13,Chile
WC-1966,T-27,England
WC-1966,T-28,France
WC-1966,T-34,Hungary
WC-1966,T-39,Italy
WC-1966,T-44,Mexico
WC-1966,T-49,North Korea
WC-1966,T-56,Portugal
WC-1966,T-69,Soviet Union
WC-1966,T-70,Spain
WC-1966,T-72,Switzerland
WC-1966,T-80,Uruguay
WC-1966,T-82,West Germany
WC-1970,T-06,Belgium
WC-1970,T-09,Brazil
WC-1970,T-10,Bulgaria
WC-1970,T-20,Czechoslovakia
WC-1970,T-26,El Salvador
WC-1970,T-27,England
WC-1970,T-38,Israel
WC-1970,T-39,Italy
WC-1970,T-44,Mexico
WC-1970,T-45,Morocco
WC-1970,T-54,Peru
WC-1970,T-58,Romania
WC-1970,T-69,Soviet Union
WC-1970,T-71,Sweden
WC-1970,T-80,Uruguay
WC-1970,T-82,West Germany
WC-1974,T-03,Argentina
WC-1974,T-04,Australia
WC-1974,T-09,Brazil
WC-1974,T-10,Bulgaria
WC-1974,T-13,Chile
WC-1974,T-23,East Germany
WC-1974,T-32,Haiti
WC-1974,T-39,Italy
WC-1974,T-46,Netherlands
WC-1974,T-55,Poland
WC-1974,T-61,Scotland
WC-1974,T-71,Sweden
WC-1974,T-80,Uruguay
WC-1974,T-82,West Germany
WC-1974,T-83,Yugoslavia
WC-1974,T-84,Zaire
WC-1978,T-03,Argentina
WC-1978,T-05,Austria
WC-1978,T-09,Brazil
WC-1978,T-28,France
WC-1978,T-34,Hungary
WC-1978,T-36,Iran
WC-1978,T-39,Italy
WC-1978,T-44,Mexico
WC-1978,T-46,Netherlands
WC-1978,T-54,Peru
WC-1978,T-55,Poland
WC-1978,T-61,Scotland
WC-1978,T-70,Spain
WC-1978,T-71,Sweden
WC-1978,T-75,Tunisia
WC-1978,T-82,West Germany
WC-1982,T-01,Algeria
WC-1982,T-03,Argentina
WC-1982,T-05,Austria
WC-1982,T-06,Belgium
WC-1982,T-09,Brazil
WC-1982,T-11,Cameroon
WC-1982,T-13,Chile
WC-1982,T-20,Czechoslovakia
WC-1982,T-26,El Salvador
WC-1982,T-27,England
WC-1982,T-28,France
WC-1982,T-33,Honduras
WC-1982,T-34,Hungary
WC-1982,T-39,Italy
WC-1982,T-43,Kuwait
WC-1982,T-47,New Zealand
WC-1982,T-50,Northern Ireland
WC-1982,T-54,Peru
WC-1982,T-55,Poland
WC-1982,T-61,Scotland
WC-1982,T-69,Soviet Union
WC-1982,T-70,Spain
WC-1982,T-82,West Germany
WC-1982,T-83,Yugoslavia
WC-1986,T-01,Algeria
WC-1986,T-03,Argentina
WC-1986,T-06,Belgium
WC-1986,T-09,Brazil
WC-1986,T-10,Bulgaria
WC-1986,T-12,Canada
WC-1986,T-21,Denmark
WC-1986,T-27,England
WC-1986,T-28,France
